objectid,cropcatego,island,acreage,st_areashape,st_perimetershape
1,Commercial Forestry,Kauai,273.02453607,1104934.41320128,6301.5576438344
2,Coffee,Kauai,7.43864774,30103.7900335936,1254.46519860232
3,Coffee,Kauai,4.64883511,18813.5770734098,771.720862724468
4,Coffee,Kauai,1129.89783006,4572630.80750496,16248.5937047411
5,Coffee,Kauai,3.48554593,14105.8145110904,857.800654934112
6,Coffee,Kauai,520.63580433,2106982.33454019,7868.13701594693
7,Coffee,Kauai,715.68023146,2896316.63244997,11290.2305018436
8,Coffee,Kauai,133.31929989,539535.171889715,3705.45833594079
9,Flowers / Foliage / Landscape,Kauai,35.24298634,142628.246874311,1871.48271344032
10,Coffee,Kauai,96.85587315,391976.301000218,2930.28310438176
11,Diversified Crop,Kauai,21.96805406,88903.9374799561,1554.16313643897
12,Diversified Crop,Kauai,10.72667231,43410.9379279132,1309.41128573852
13,Diversified Crop,Kauai,9.75109975,39462.7723165418,865.91605724169
14,Banana,Kauai,8.76949327,35490.2017860553,1172.86904968059
15,Commercial Forestry,Kauai,249.00087927,1007709.79739576,6776.42572394625
16,Diversified Crop,Kauai,41.62203566,168444.971180087,2301.51648431698
17,Commercial Forestry,Kauai,31.90549863,129122.083933716,2031.52057687363
18,Commercial Forestry,Kauai,38.76637196,156888.147466853,1840.64938909761
19,Commercial Forestry,Kauai,38.10400687,154207.609790955,2265.6203947949
20,Commercial Forestry,Kauai,11.29016351,45691.4941566842,1372.42735187178
21,Seed Production,Kauai,22.42175579,90740.9132847629,1360.62576197522
22,Tropical Fruits,Kauai,38.48172132,155736.012017656,1866.18482845883
23,Diversified Crop,Kauai,2.04202995,8264.0916121373,513.810053835414
24,Taro,Kauai,18.17908864,73570.787649187,1290.83775598405
25,Taro,Kauai,1.48759279,6020.28730552785,315.502483721896
26,Taro,Kauai,3.46002759,14002.8294850764,451.185315639902
27,Taro,Kauai,0.67966215,2750.61392989046,249.838272773426
28,Diversified Crop,Kauai,114.7739029,464490.261246976,2997.22852531066
29,Taro,Kauai,15.69244265,63507.6452703792,1047.67012059233
